YearStart,YearEnd,LocationAbbr,LocationDesc,Topic,Question,DataValue,DataValueUnit,DataValueType,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2
2019,2019,AL,Alabama,Mental Health,Frequent mental distress among adults,21.0,%,Crude Prevalence,Age,Age 18-44,,Overall
2019,2019,AR,Arkansas,Mental Health,Depression among adults,27.8,%,Crude Prevalence,Age,Age 18-44,,Overall
2019,2019,GU,Guam,Mental Health,Depression among adults,13.0,%,Age-adjusted Prevalence,Race/Ethnicity,"Multiracial, non-Hispanic",,Overall
2019,2019,ID,Idaho,Mental Health,Depression among adults,22.3,%,Crude Prevalence,Age,Age 45-64,,Overall
2019,2019,ID,Idaho,Mental Health,Frequent mental distress among adults,11.5,%,Crude Prevalence,Sex,Male,,Overall
2019,2019,IL,Illinois,Mental Health,Depression among adults,13.7,%,Crude Prevalence,Age,Age >=65,,Overall
2019,2019,IN,Indiana,Mental Health,Depression among adults,26.7,%,Crude Prevalence,Sex,Female,,Overall
2019,2019,IA,Iowa,Mental Health,Depression among adults,11.4,%,Crude Prevalence,Sex,Male,,Overall
2019,2019,MD,Maryland,Mental Health,Average mentally unhealthy days among adults,4.7,Number,Crude Mean,Age,Age 18-44,,Overall
2019,2019,MI,Michigan,Mental Health,Depression among adults,23.4,%,Crude Prevalence,Age,Age 18-44,,Overall
2019,2019,MI,Michigan,Mental Health,Average mentally unhealthy days among adults,3.2,Number,Crude Mean,Overall,Overall,,Overall
2019,2019,MI,Michigan,Mental Health,Frequent mental distress among adults,19.7,%,Age-adjusted Prevalence,Sex,Female,,Overall
2019,2019,MS,Mississippi,Mental Health,Depression among adults,20.6,%,Crude Prevalence,Overall,Overall,,Overall
2019,2019,MS,Mississippi,Mental Health,Average mentally unhealthy days among adults,2.3,Number,Crude Mean,Sex,Female,,Overall
2019,2019,MO,Missouri,Mental Health,Depression among adults,16.3,%,Age-adjusted Prevalence,Sex,Male,,Overall
2019,2019,MO,Missouri,Mental Health,Frequent mental distress among adults,18.6,%,Crude Prevalence,Race/Ethnicity,Hispanic,,Overall
2019,2019,NE,Nebraska,Mental Health,Frequent mental distress among adults,8.6,%,Age-adjusted Prevalence,Sex,Male,,Overall
2019,2019,NM,New Mexico,Mental Health,Depression among adults,20.6,%,Crude Prevalence,Sex,Female,,Overall
2019,2019,NY,New York,Mental Health,Frequent mental distress among adults,12.1,%,Crude Prevalence,Race/Ethnicity,"White, non-Hispanic",,Overall
2019,2019,NC,North Carolina,Mental Health,Frequent mental distress among adults,13.3,%,Crude Prevalence,Age,Age 45-64,,Overall
2019,2019,ND,North Dakota,Mental Health,Frequent mental distress among adults,8.5,%,Crude Prevalence,Age,Age 45-64,,Overall
2019,2019,TN,Tennessee,Mental Health,Depression among adults,18.5,%,Crude Prevalence,Sex,Male,,Overall
2019,2019,VT,Vermont,Mental Health,Frequent mental distress among adults,13.1,%,Age-adjusted Prevalence,Sex,Male,,Overall
2019,2019,VA,Virginia,Mental Health,Frequent mental distress among adults,15.4,%,Age-adjusted Prevalence,Sex,Female,,Overall
2020,2020,AL,Alabama,Mental Health,Depression among adults,16.1,%,Crude Prevalence,Sex,Male,,Overall
